Time,Water Heating Electric Power (kW),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Water Heating Heat Pump Max Capacity (W),Water Heating Heat Pump On Fraction (-),Water Heating Heat Pump COP (-),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C)
2018-01-01 00:00:00,0.001,Off,0.0,0.0,50.29478708413695,51.0,45.44,2291.3904722222223,0,4.465457227777777,0.0,50.44444444444444,0.0,0.0,0.0,66.0597161121826,50.444444444444436,50.44444444444444,50.44444444444444,7.0
2018-01-01 00:01:00,0.001,Off,0.0,0.0,50.287696036983746,51.0,45.44,2291.476998893037,0,4.465787780040886,0.0,50.43737585299074,0.0,0.0,0.0,66.05026138264499,50.440654262310346,50.441310293894844,50.43737585299074,7.0
2018-01-01 00:02:00,0.001,Off,0.0,0.0,50.280607164885154,51.0,45.44,2291.5635289806796,0,4.466118371181074,0.0,50.430312395126904,0.0,0.0,0.0,66.04080955318021,50.436864622642204,50.438176465995234,50.430312395126904,7.0
2018-01-01 00:03:00,0.001,Off,0.0,0.0,50.273520465124406,51.0,45.44,2291.6500624347104,0,4.4664490010152225,0.0,50.42325406229174,0.0,0.0,0.0,66.03136062016587,50.43307552527362,50.435042960712394,50.42325406229174,7.0
2018-01-01 00:04:00,0.001,Off,0.0,0.0,50.26643593503887,51.0,45.44,2291.736599204821,0,4.466779669360656,0.0,50.41620084594321,0.0,0.0,0.0,66.02191458005183,50.42928697003843,50.431909778013114,50.41620084594321,7.0
2018-01-01 00:05:00,0.001,Off,0.0,0.0,50.25935357208208,51.0,45.44,2291.8231392408356,0,4.4671103760351505,0.0,50.4091527375584,0.0,0.0,0.0,66.01247142944277,50.42549895677062,50.428776917864184,50.4091527375584,7.0
2018-01-01 00:06:00,0.001,Off,0.0,0.0,50.25227337361465,51.0,45.44,2291.9096824927115,0,4.467441120856932,0.0,50.40210972863347,0.0,0.0,0.0,66.00303116481953,50.42171148530445,50.425644380232406,50.40210972863347,7.0
2018-01-01 00:07:00,0.001,Off,0.0,0.0,50.2451953369972,51.0,45.44,2291.9962289105347,0,4.4677719036446755,0.0,50.395071810683575,0.0,0.0,0.0,65.99359378266293,50.417924555474286,50.42251216508457,50.395071810683575,7.0
2018-01-01 00:08:00,0.001,Off,0.0,0.0,50.23811945970647,51.0,45.44,2292.0827784445273,0,4.468102724217499,0.0,50.388038975242864,0.0,0.0,0.0,65.98415927960862,50.41413816711476,50.41938027238748,50.388038975242864,7.0
2018-01-01 00:09:00,0.001,Off,0.0,0.0,50.231045739041136,51.0,45.44,2292.1693310450382,0,4.468433582394972,0.0,50.381011213864404,0.0,0.0,0.0,65.97472765205485,50.41035232006071,50.41624870210794,50.381011213864404,7.0
